"Ranking Result:
",,,,,
"
",,,,,
"Single With H: 
",,,,,
"bbq
",,,,,
Name,ID,Address,Stars,Review Count,Categories
Four Peaks Brewing Co,JokKtdXU7zXHcr20Lrk29A,"1340 E 8th St,Ste 104,Tempe, AZ 85281",4.5,956,"Bars,Food,Breweries,Pubs,Nightlife,American (New),Restaurants"
Cibo,V1nEpIRmEa1768oj_tuxeQ,"603 N 5th Ave,Phoenix, AZ 85003",4.5,895,"Italian,Pizza,Sandwiches,Restaurants"
Cornish Pasty Company,WNy1uzcmm_UHmTyR--o5IA,"960 W University Dr,Tempe, AZ 85281",4.5,794,"Pubs,Bars,Nightlife,British,Restaurants"
Citizen Public House,MuIXnv7Oq7X3-4aEsp9dDA,"7111 E 5th Ave,Ste E,Scottsdale, AZ 85251",4.5,624,"Gastropubs,American (New),Salad,Restaurants"
Green,c1yGkETheht_1vjda7G5sA,"2240 N Scottsdale Rd,Tempe, AZ 85281",4.5,599,"Vegetarian,Vegan,Restaurants"
Liberty Market,L9UYbtAUOcfTgZFimehlXw,"230 N Gilbert Rd,Gilbert, AZ 85234",4.5,523,"Food,Coffee & Tea,American (New),Restaurants"
Pizzeria Bianco,VVeogjZya58oiTxK7qUjAQ,"623 E Adams St,Phoenix, AZ 85004",4,1124,"Italian,Pizza,Sandwiches,Restaurants"
Cornish Pasty Company,vARjqeIkSNsazHltujiq4Q,"1941 W Guadalupe Rd,Ste 101,Mesa, AZ 85202",4.5,506,"British,Restaurants"
La Santisima Gourmet Taco Shop,zp713qNhx8d9KCJJnrw1xA,"1919 N 16th St,Phoenix, AZ 85006",4.5,435,"Mexican,Restaurants"
FEZ,EWMwV5V9BxNs_U6nNVMeqw,"3815 N Central Ave,Phoenix, AZ 85012",4,911,"Bars,Mediterranean,Nightlife,Lounges,American (New),Restaurants"
"
",,,,,
"
",,,,,
"w/o H
",,,,,
Mama Gina's,2a4wMeWkUcS2Qlx47_iQ-Q,"9380 W Westgate Blvd,Ste D101,Glendale, AZ 85305",2.5,57,"Restaurants,Pizza,Italian"
Bill Johnson's Big Apple Restaurant,rj9Gt5Sifo-iN44vSfdKpQ,"7322 W Bell Rd,Glendale, AZ 85308",3,4,"Barbeque,Restaurants"
Sucker Punch Sally's Diner,fjHUnUP1Lt-YAbeWUx2LrQ,"4 E University Dr,Tempe, AZ 85281",3,48,"Food,Beer, Wine & Spirits,American (Traditional),Restaurants"
Blue 32 Sports Grill,NkGQRN6ahwQoFEAlHq8NHg,"7000 E Mayo Blvd,Phoenix, AZ 85054",3.5,44,"Burgers,American (Traditional),Sandwiches,Restaurants"
Kwan & Wok Chinese Restaurant,NaXqRvoW2Zg2wSghf9JqaA,"1702 W Camelback Rd,Phoenix, AZ 85015",3,16,"Chinese,Restaurants"
Big Heng,LYCaveWFti6kUHpMzYKLjA,"1739 W Glendale Ave,Phoenix, AZ 85021",4.5,10,"Chinese,Restaurants"
Tortilla Flat Superstition Saloon,XfFdm2wlaO3IDh-i1O-DTQ,"1 Main St, Hwy 88,Tortilla Flat, AZ 85190",3.5,49,"American (Traditional),Mexican,Landmarks & Historical Buildings,Personal Shopping,Shopping,Public Services & Government,Restaurants"
Him's Jl Buffet,VCGyfZMhaCNUnYTK-ihvXQ,"6226 N 43rd Ave,Glendale, AZ 85301",3.5,6,"Chinese,Restaurants"
Glendale Chocolate Affaire,TCi5dyUUVHvFctgkstc1Kg,"7017 N 58th Ave,Glendale, AZ 85301",2.5,15,"Arts & Entertainment,Festivals"
Cucina Tagliani,glDy-a_H8hEuUwKp7-RUcQ,"1733 N Dysart Rd,Avondale, AZ 85392",3.5,4,"Restaurants,Italian"
"
",,,,,
"chinese
",,,,,
"
",,,,,
Green,c1yGkETheht_1vjda7G5sA,"2240 N Scottsdale Rd,Tempe, AZ 85281",4.5,599,"Vegetarian,Vegan,Restaurants"
Liberty Market,L9UYbtAUOcfTgZFimehlXw,"230 N Gilbert Rd,Gilbert, AZ 85234",4.5,523,"Food,Coffee & Tea,American (New),Restaurants"
Pizzeria Bianco,VVeogjZya58oiTxK7qUjAQ,"623 E Adams St,Phoenix, AZ 85004",4,1124,"Italian,Pizza,Sandwiches,Restaurants"
Defalco's Italian Grocery,z3yFuLVrmH-3RJruPEMYKw,"2334 N Scottsdale Rd,Ste A133,Scottsdale, AZ 85257",4.5,396,"Delis,Restaurants,Sandwiches,Italian"
Gallo Blanco,#NAME?,"401 W Clarendon Ave,Phoenix, AZ 85013",4,731,"Bars,Cafes,Nightlife,Restaurants"
Dick's Hideaway,9BJ5h9X1krpXFjKj0a6wbg,"6008 N 16th St,Phoenix, AZ 85014",4.5,314,"American (Traditional),Tex-Mex,Restaurants"
Lo-Lo's Chicken & Waffles,K8pM6qQdYu5h6buRE1-_sw,"1220 S Central Ave,Phoenix, AZ 85003",4,610,"Soul Food,Southern,Restaurants"
Hula's Modern Tiki,_FXql6eVhbM923RdCi94SA,"4700 N Central Ave,Phoenix, AZ 85012",4,595,"Seafood,Caribbean,Hawaiian,Restaurants"
Chino Bandido,Zx8_4zKdDBSO3qGrkukBIA,"15414 N 19th Ave,Ste K,Phoenix, AZ 85023",4,582,"Szechuan,Asian Fusion,Mexican,Chinese,Restaurants"
Delux,OFBJtqWGSx6n6CchtVmoRw,"3146 E Camelback Rd,Phoenix, AZ 85016",4,568,"Burgers,Bars,Nightlife,Restaurants"
"
",,,,,
"w/o H
",,,,,
Golden Corral,MpFziuV66BreNV1VMCYs9g,"420 N Dysart Rd,Goodyear, AZ 85338",3,27,"Buffets,Restaurants"
Asahi Bakery,Tr3EsurgHqGPTXwAfjZ04Q,"6056 N 16th St,Phoenix, AZ 85016",4,16,"Bakeries,Food"
Old Country Buffet,SS073W0tN3nvG36Qy6n0qg,"6625 E Southern Ave,Mesa, AZ 85206",3.5,13,"Breakfast & Brunch,American (New),Buffets,Restaurants"
Taylor's Cafe,UxvOXcoCRFRAVhRB0D9imw,"5053 N 44th St,Phoenix, AZ 85018",3.5,76,"Breakfast & Brunch,Restaurants"
America's Taco Shop,yzZxyhouOdM4NwYLEMgaWw,"9261 E Via De Ventura,Ste 101,Scottsdale, AZ 85258",4,53,"Mexican,Restaurants"
King Wah Express,VEDXuvU1gZy3PqD9q32uwQ,"4306 W Northern Ave,Ste C,Glendale, AZ 85301",3.5,16,"Chinese,Restaurants"
The Golden Door Spa & Cafe,MoDHbrMoGnLhbMIGgZZOwQ,"34631 N Tom Darlington Dr,Cave Creek, AZ 85377",4.5,12,"Day Spas,Beauty & Spas"
Pointe In Tyme,Y3a3RkR97J_ReiKgiMXeJg,"11111 N 7th St,Phoenix, AZ 85020",3,42,"Breakfast & Brunch,Restaurants"
Siamese Kitchen,XguGFMUSEMz4wx_2G-otyA,"4352 W Olive Ave,Glendale, AZ 85302",4,42,"Thai,Restaurants"
Guanaquito,rbiRLiFTG098z9JaK3Nshw,"1434 E McDowell Rd,Phoenix, AZ 85006",4,47,"Latin American,Mexican,Restaurants"
"
",,,,,
"Free Text with H
",,,,,
"burrito mexican
",,,,,
Four Peaks Brewing Co,JokKtdXU7zXHcr20Lrk29A,"1340 E 8th St,Ste 104,Tempe, AZ 85281",4.5,956,"Bars,Food,Breweries,Pubs,Nightlife,American (New),Restaurants"
Cornish Pasty Company,WNy1uzcmm_UHmTyR--o5IA,"960 W University Dr,Tempe, AZ 85281",4.5,794,"Pubs,Bars,Nightlife,British,Restaurants"
Liberty Market,L9UYbtAUOcfTgZFimehlXw,"230 N Gilbert Rd,Gilbert, AZ 85234",4.5,523,"Food,Coffee & Tea,American (New),Restaurants"
Cornish Pasty Company,vARjqeIkSNsazHltujiq4Q,"1941 W Guadalupe Rd,Ste 101,Mesa, AZ 85202",4.5,506,"British,Restaurants"
La Santisima Gourmet Taco Shop,zp713qNhx8d9KCJJnrw1xA,"1919 N 16th St,Phoenix, AZ 85006",4.5,435,"Mexican,Restaurants"
FEZ,EWMwV5V9BxNs_U6nNVMeqw,"3815 N Central Ave,Phoenix, AZ 85012",4,911,"Bars,Mediterranean,Nightlife,Lounges,American (New),Restaurants"
