item	low	high
1	1151	1484
2	1178	1856
3	813	1298
4	837	2536
5	889	1448
6	1094	1507
8	2112	3557
9	2103	3309
10	1306	2208
11	626	1154
12	857	1295
13	1179	1563
14	684	1197
15	668	915
16	917	1054
17	967	1319
18	791	998
19	665	955
20	799	1008
21	579	1077
22	838	1248
23	699	1066
24	692	1069
25	678	1164
26	690	1034
27	818	1141
28	691	1023
29	687	1172
30	693	1002
31	679	1060
32	782	1227
33	818	1236
34	684	1160
35	837	1172
36	709	965
37	709	965
38	689	971
39	715	972
40	836	1245
41	628	1070
42	688	995
43	677	1059
44	774	1070
45	751	1132
46	807	1170
47	1190	1965
48	858	1244
49	824	1089
50	825	1306
51	807	1392
52	1115	1582
53	632	1153
54	1101	1481
